index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
22,2,8,0,261,5,0,1,2,0,0,1,0,2
23,2,7,0,261,5,3,0,0,1,0,1,0,2
25,2,8,0,261,5,0,1,0,0,1,1,3,2
26,3,4,0,261,5,0,0,0,1,0,1,0,2
27,1,1,2,261,5,2,0,0,1,1,0,3,2
28,2,6,2,261,5,4,1,1,0,1,0,0,2
31,2,6,0,261,5,3,0,1,1,0,0,0,2
35,2,7,0,261,5,2,0,1,1,1,0,3,1
37,2,6,0,261,5,0,0,0,2,1,1,0,2
38,1,9,0,261,5,0,0,0,1,0,1,0,1
39,2,4,0,261,5,0,0,1,1,0,0,0,2
40,2,4,0,261,5,0,1,0,0,1,1,0,2
42,3,8,0,261,5,0,1,0,1,0,1,0,2
43,2,8,0,261,5,0,0,2,0,1,2,0,2
44,3,0,0,261,5,0,1,1,1,0,0,0,1
46,2,0,0,261,5,0,1,2,1,0,1,0,0
48,3,4,0,261,5,1,0,0,1,1,1,3,2
49,2,8,0,261,5,0,0,1,1,0,0,0,2
53,2,4,0,261,5,0,1,0,1,2,1,0,2
54,2,7,0,261,5,0,1,0,0,1,1,0,2
55,2,7,2,261,5,4,1,0,1,0,1,0,2
56,2,4,3,261,5,1,1,1,1,0,0,0,2
57,2,8,0,261,5,0,1,1,0,1,0,3,2
58,2,6,2,261,5,4,1,1,1,0,0,0,2
59,2,7,0,261,5,0,0,2,1,0,0,0,2
60,1,9,0,261,5,0,1,1,1,0,0,0,2
61,2,4,0,261,5,2,0,0,1,1,1,3,2
62,4,0,0,261,5,0,0,1,2,0,0,0,2
63,2,8,0,261,5,0,1,2,0,0,0,0,2
64,2,7,0,261,5,2,0,1,1,0,0,0,2
65,2,5,0,261,5,0,1,2,1,0,0,0,2
66,2,4,0,261,5,0,1,1,1,0,0,0,2
67,2,7,0,261,5,4,0,1,3,0,0,0,2
69,2,4,2,261,5,4,0,1,1,0,0,0,2
70,2,6,0,261,5,0,1,1,1,0,0,0,1
72,2,4,0,261,5,0,1,2,0,0,0,0,2
73,2,4,0,261,5,0,0,1,1,0,0,0,2
74,3,0,0,261,5,4,0,1,1,0,0,0,2
75,3,8,0,261,5,0,1,1,1,0,0,0,2
76,1,7,0,261,5,0,1,1,0,0,0,0,2
78,2,4,0,261,5,0,1,2,0,0,0,0,2
80,1,7,0,261,5,0,1,1,1,0,0,0,2
81,4,4,0,261,5,0,1,1,1,0,1,0,2
82,1,0,0,261,5,1,1,2,1,0,0,0,2
83,1,0,2,261,5,2,1,1,1,0,2,0,2
84,2,3,0,261,5,0,1,2,1,0,0,0,2
85,2,4,0,261,5,4,1,0,1,0,1,0,2
86,2,8,0,261,5,0,1,1,1,0,0,0,2
87,2,4,0,261,5,0,1,0,1,0,1,0,2
89,4,4,0,261,5,0,1,2,1,0,0,0,1
90,2,7,0,261,5,2,0,0,1,0,2,0,2
91,2,6,3,261,5,1,1,1,2,0,0,0,2
92,2,8,0,261,5,0,1,1,1,0,0,0,2
93,3,8,0,261,5,0,1,1,0,0,0,0,2
94,2,7,0,261,5,2,0,1,2,0,0,0,2
96,2,7,0,261,5,3,0,1,1,0,0,0,2
99,2,7,0,261,5,3,0,0,1,1,2,0,2
100,2,4,0,261,5,3,1,0,1,0,1,0,2
101,2,7,3,261,5,0,0,1,1,0,0,0,2
102,1,8,0,261,5,0,1,2,1,0,0,0,2
103,2,8,3,261,5,0,1,1,1,0,0,0,2
104,3,4,0,261,5,0,1,1,0,1,0,3,2
105,3,5,0,261,5,0,1,2,1,0,1,0,1
107,2,8,0,261,5,0,1,2,1,0,1,0,2
108,2,2,3,261,5,0,0,1,3,1,0,0,2
110,2,4,0,261,5,0,0,1,1,0,0,0,2
112,3,4,0,261,5,3,0,0,1,0,1,0,2
115,0,4,0,267,5,0,1,2,0,1,1,0,2
125,2,7,0,267,5,4,1,0,1,1,1,0,2
126,3,8,0,267,5,0,1,1,1,0,0,0,0
128,2,7,2,267,5,2,0,0,0,1,1,4,2
132,2,7,3,267,5,0,0,1,1,0,0,0,2
133,2,4,0,267,5,0,0,1,1,0,0,0,2
134,1,9,0,267,5,0,1,0,1,0,1,0,1
138,3,8,0,267,5,0,1,2,0,0,0,0,2
141,0,7,0,267,5,3,0,1,1,0,0,0,2
143,2,2,2,267,5,4,0,1,1,0,0,0,2
144,2,5,0,267,5,0,1,2,1,0,0,0,2
147,2,4,0,267,5,0,1,2,1,2,1,3,2
151,2,8,0,267,5,0,0,0,0,1,1,0,2
152,2,7,0,267,5,0,1,1,1,0,0,0,2
153,2,7,2,267,5,4,1,1,1,1,0,2,2
154,2,3,0,267,5,0,1,1,1,1,2,0,2
155,3,6,0,267,5,1,1,2,1,0,0,0,0
160,2,6,0,267,5,4,1,1,2,1,0,3,2
